location,area_sqft,bhk,bathrooms,floor,total_floors,age_of_property,parking,lift,actual_price
airoli,1759.72,3,2.0,7,9.0,0.2,0,1,19625559
airoli,1336.78,2,2.0,27,21.0,11.3,0,1,16149120
airoli,491.64,1,1.0,12,16.0,11.1,0,0,8962423
vashi,938.46,1,4.0,3,32.0,16.0,1,1,17197580
panvel,1519.85,2.4597701149425286,2.5295887662988967,27,14.0,17.3,1,1,18804405
ulwe,1038.63,2,1.0,15,23.0,9.9,0,0,10320009
kharghar,1320.64,2.4597701149425286,2.5295887662988967,8,13.0,1.4,0,0,15110282
ulwe,777.94,2.4597701149425286,2.0,29,8.0,8.3,0,0,11460667
nerul,583.49,2.4597701149425286,1.0,29,34.0,16.1,1,0,6600229
ulwe,443.52,4,4.0,8,29.0,18.5,1,0,6221211
airoli,-112.07,2,4.0,31,31.0,10.1,0,0,-1527282
panvel,874.76,2,2.0,12,6.0,5.9,0,0,9795872
cbd belapur,3430.9657487994687,2,3.0,16,13.0,11.0,0,1,50507091.96410894
ulwe,1331.04,1,3.0,31,8.0,10.8,0,1,15490301
cbd belapur,771.12,1,4.0,11,25.0,13.9,1,1,14703647
nerul,594.1,2.4597701149425286,4.0,8,6.0,3.8,1,1,10356747
belapur,1198.78,2,1.0,17,15.0,7.4,0,0,14601160
cbd belapur,612.7,4,2.5295887662988967,9,38.0,21.0,0,0,12819062
panvel,718.26,4,1.0,16.55400254129606,16.0,3.4,1,0,13531794
kharghar,929.04,2,4.0,17,35.0,18.2,0,0,13429300
panvel,831.96,2,4.0,3,28.0,13.9,0,0,11802558
vashi,1062.25,2,2.5295887662988967,4,36.0,18.6,0,0,19489923
nerul,647.7,4,3.0,11,2.0,11.2,1,0,8966977
ulwe,714.22,2,2.0,32,29.0,1.5,1,1,10383975
airoli,1463.77,3,2.5295887662988967,16.55400254129606,5.0,14.3,1,0,21395030
ghansoli,3430.9657487994687,4,2.5295887662988967,16,19.0,10.4,0,1,50507091.96410894
panvel,854.91,2,1.0,9,25.0,9.4,1,1,13602445
nerul,1108.24,2,3.0,34,26.0,5.0,0,0,12417738
kharghar,2867.19,4,2.5295887662988967,6,14.0,14.7,0,1,46962086
panvel,742.56,2,4.0,9,16.0,1.1,0,0,12117017
belapur,391.68,3,1.0,15,14.0,11.5,0,1,5622023
airoli,861.99,3,2.5295887662988967,32,15.0,7.2,0,0,9218454
nerul,859.41,2,1.0,18,8.0,2.2,1,0,14829561
vashi,864.67,3,2.0,21,17.0,13.8,1,1,12060645
ghansoli,763.72,2.4597701149425286,3.0,24,2.0,18.2,1,0,11991412
kharghar,1545.65,2,2.5295887662988967,26,31.0,21.6,1,0,27779643
airoli,318.25,4,1.0,16,26.0,8.9,0,0,5750475
cbd belapur,1590.52,4,3.0,23,23.0,6.8,0,0,32766683
vashi,989.07,3,3.0,17,23.0,0.4,0,0,10644399
cbd belapur,1485.44,1,4.0,4,4.0,3.8,1,1,13646639
kharghar,857.56,2,3.0,10,24.0,7.7,0,0,15933556
cbd belapur,478.22,2,2.0,25,13.0,16.6,1,1,6214148
kharghar,861.24,3,2.0,23,10.0,0.1,0,0,18127195
kharghar,-60.29,2,3.0,22,38.0,8.4,1,1,-926764
airoli,1142.13,2.4597701149425286,3.0,10,32.0,6.3,0,1,20264278
vashi,1101.53,1,1.0,17,19.0,12.2,0,0,15133803
cbd belapur,488.66,3,2.5295887662988967,16.55400254129606,22.0,14.8,0,1,5272891
nerul,1185.8,1,2.0,23,23.0,9.0,1,0,18035996
vashi,850.46,2,3.0,34,17.0,13.3,1,0,16048242
airoli,206.27,4,3.0,10,9.0,8.3,0,0,2538459
airoli,1085.35,2,3.0,29,9.0,2.6,1,1,16484569
panvel,452.07,3,1.0,19,20.0,8.1,0,0,5712246
kharghar,1107.59,1,4.0,19,25.0,3.2,0,1,12823716
nerul,945.08,4,2.5295887662988967,28,18.0,7.0,1,0,11455589
ulwe,537.2,2.4597701149425286,4.0,26,10.0,12.0,0,0,5890064
kharghar,668.07,4,2.5295887662988967,3,15.0,22.9,0,0,12174785
kharghar,1198.22,3,2.5295887662988967,31,17.0,7.0,1,1,13715419
belapur,472.55,1,4.0,21,5.0,13.5,0,0,5700527
panvel,589.94,2,2.5295887662988967,9,8.0,5.5,1,0,6195682
vashi,648.72,2,4.0,2,26.0,7.3,0,1,11067330
ghansoli,999.57,1,3.0,16.55400254129606,29.0,3.2,1,1,17234469
vashi,1140.73,2,2.5295887662988967,16,5.0,5.1,0,0,12010489
kharghar,965.02,2.4597701149425286,2.5295887662988967,23,36.0,14.6,1,0,13189802
nerul,551.84,1,2.5295887662988967,9,9.0,19.0,0,0,8032443
airoli,557.9,2.4597701149425286,3.0,11,1.0,24.3409720571534,0,1,7159620
nerul,1227.09,2.4597701149425286,4.0,23,16.0,0.4,0,0,20204392
airoli,841.04,4,4.0,20,5.0,4.6,1,1,16739291
kharghar,1113.18,1,2.0,19,33.0,10.1,0,1,16041285
nerul,1073.07,1,4.0,7,7.0,1.4,0,1,17730034
kharghar,1375.11,2,2.5295887662988967,14,23.0,3.6,0,0,16272747
nerul,1066.55,3,4.0,27,1.0,8.2,1,1,19341337
panvel,858.56,3,4.0,34,6.0,2.0,0,0,13655228
kharghar,248.29,4,4.0,29,9.0,8.6,1,1,6114694
nerul,1433.31,3,2.0,23,4.0,2.5,0,0,22404782
ghansoli,12.01,3,4.0,9,17.0,7.4,0,0,226992
nerul,479.53,2.4597701149425286,2.5295887662988967,7,3.0,10.9,0,0,5085466
ulwe,1664.94,3,1.0,30,13.0,6.5,0,1,21488508
airoli,829.07,4,2.5295887662988967,0,35.0,8.0,0,0,13311687
kharghar,585.74,4,2.0,25,30.0,10.1,1,0,6861519
panvel,872.52,3,2.5295887662988967,21,27.0,11.2,1,1,10811592
airoli,791.73,1,2.5295887662988967,17,10.0,9.9,0,0,7628999
kharghar,167.06,2,2.0,26,8.0,4.0,0,0,2583704
ghansoli,837.59,4,2.0,22,18.0,10.5,0,1,12142223
panvel,456.97,2,4.0,9,7.0,6.8,0,0,7364907
ulwe,1461.62,2,4.0,16,7.0,8.0,0,1,19728976
kharghar,983.11,2,3.0,27,37.0,8.2,1,0,13813656
ulwe,1047.24,2,1.0,25,13.0,6.2,0,1,12158425
kharghar,1337.27,3,4.0,30,9.0,6.0,0,0,17822636
panvel,3430.9657487994687,1,1.0,8,25.0,4.1,1,1,50507091.96410894
vashi,985.46,2.4597701149425286,4.0,3,20.0,9.2,0,1,11614294
airoli,1228.22,3,4.0,3,6.0,13.1,0,0,17567813
kharghar,3430.9657487994687,2,4.0,15,23.0,6.6,0,0,50507091.96410894
cbd belapur,992.36,1,2.0,30,10.0,11.5,0,0,13746869
nerul,1639.88,1,2.5295887662988967,14,6.0,6.3,0,0,16027500
nerul,704.81,3,3.0,6,23.0,7.7,0,0,10921874
kharghar,379.55,3,1.0,16.55400254129606,1.0,5.2,0,1,5523638
cbd belapur,564.08,2,1.0,14,21.0,5.5,0,0,5449266
cbd belapur,3430.9657487994687,2,2.0,19,11.0,13.9,1,1,50507091.96410894
ulwe,4.82,2.4597701149425286,3.0,23,3.0,4.0,0,1,78268
kharghar,658.62,2,1.0,24,17.0,12.0,0,0,8764419
kharghar,1145.45,2,1.0,11,13.0,2.4,0,0,17902200
nerul,727.89,1,2.5295887662988967,24,38.0,10.6,0,0,10648820
vashi,324.08,4,2.0,22,11.0,8.6,1,1,4498940
belapur,968.35,3,3.0,29,1.0,12.7,1,1,16643085
nerul,924.75,2,1.0,18,2.0,10.4,0,1,12056954
airoli,409.78,4,3.0,2,15.0,7.5,0,1,5386288
kharghar,1577.02,1,4.0,10,26.0,15.5,0,0,19873603
ulwe,2367.63,4,1.0,27,14.0,3.9,1,0,39990795
ghansoli,881.9,2,2.0,24,24.0,6.4,0,1,15271643
cbd belapur,418.6,2.4597701149425286,1.0,16.55400254129606,30.0,12.1,1,1,5720534
ulwe,982.91,2,1.0,15,16.0,14.4,1,0,19480352
belapur,871.41,2,2.5295887662988967,1,3.0,6.8,0,1,8026538
panvel,984.81,4,1.0,19,17.0,1.8,0,0,13661955
nerul,1187.01,2,4.0,15,6.0,10.5,0,0,15327833
kharghar,1046.3,2,4.0,6,1.0,23.6,0,1,13124327
belapur,770.36,2,4.0,3,22.0,9.2,1,1,9360166
kharghar,803.19,2.4597701149425286,4.0,6,17.0,7.5,0,0,10317915
panvel,1068.25,2,1.0,16,18.0,1.1,0,0,14511656
panvel,992.88,2,3.0,13,38.0,6.1,1,1,12113178
kharghar,1112.69,1,1.0,27,32.0,2.2,0,0,12473034
airoli,1264.32,2,2.5295887662988967,4,22.0,3.2,0,0,14295129
panvel,966.51,4,1.0,30,13.0,14.2,1,0,19395654
airoli,847.05,2.4597701149425286,4.0,16.55400254129606,16.0,2.0,1,0,14709111
ghansoli,957.54,4,4.0,12,34.0,12.2,1,1,16792924
belapur,3430.9657487994687,1,4.0,12,9.0,11.3,0,0,50507091.96410894
panvel,1183.83,2,2.5295887662988967,34,9.0,8.0,0,0,19684995
nerul,123.09,1,2.0,14,12.0,16.8,1,1,1429567
belapur,886.9,2,2.5295887662988967,10,35.0,4.1,0,1,14154814
nerul,677.65,3,2.0,25,7.0,8.8,0,1,5754881
airoli,448.68,3,3.0,17,10.0,8.3,0,1,8730053
ulwe,748.54,2,1.0,23,19.0,7.0,0,0,12398927
airoli,1190.05,2,1.0,0,16.0,5.6,0,0,17538963
ulwe,934.97,1,2.5295887662988967,26,8.0,2.4,1,1,17439480
belapur,1113.2,1,2.0,4,3.0,11.6,1,1,13577214
panvel,938.71,4,2.5295887662988967,9,33.0,16.2,0,0,12665272
nerul,906.52,2.4597701149425286,4.0,13,3.0,5.7,0,1,12583200
belapur,1297.98,2,2.0,34,36.0,6.4,1,0,18172690
belapur,929.51,2,3.0,32,23.0,11.8,0,0,16058661
nerul,1143.51,2,2.0,6,6.0,11.3,1,0,13777763
nerul,1051.48,2.4597701149425286,2.0,2,24.0,2.6,1,0,16745391
kharghar,912.85,4,1.0,2,4.0,0.4,1,0,15640231
belapur,803.73,2,2.0,2,12.0,11.0,0,0,14330185
panvel,1834.96,2.4597701149425286,1.0,25,19.0,10.3,0,1,22186480
nerul,3182.47,4,4.0,25,5.0,3.9,0,0,43678454
panvel,45.27,1,3.0,2,10.0,2.2,1,0,1117238
nerul,1522.15,2,1.0,6,31.0,6.6,1,0,24592384
panvel,614.21,2,2.5295887662988967,16.55400254129606,9.0,15.9,0,1,9536986
kharghar,401.99,3,2.0,9,5.0,14.4,0,0,5079265
belapur,1042.02,4,4.0,21,14.0,8.7,0,1,18360608
panvel,796.41,3,3.0,29,32.0,9.5,1,1,11323897
belapur,1087.52,2.4597701149425286,2.5295887662988967,19,37.0,7.7,1,1,9784169
ghansoli,3430.9657487994687,1,4.0,22,9.0,23.2,0,1,58093479
cbd belapur,1574.9,3,1.0,5,20.0,11.7,1,1,19923983
panvel,718.71,3,1.0,10,39.0,14.7,0,1,13101308
ghansoli,933.41,2.4597701149425286,1.0,13,1.0,1.4,0,0,11567715
ghansoli,1577.95,3,4.0,5,28.0,8.4,0,0,31516423
airoli,917.76,2,2.0,18,17.0,3.0,1,1,10198250
nerul,937.18,2,2.0,21,24.0,8.2,1,1,13082156
kharghar,778.39,2,1.0,15,21.0,2.2,1,0,8846548
airoli,1676.64,2,4.0,31,26.0,3.2,0,0,21572741
belapur,903.25,1,4.0,26,25.0,0.2,1,0,10098819
panvel,1285.13,3,4.0,33,34.0,7.4,0,1,22940284
ghansoli,26.68,3,1.0,4,31.0,23.8,1,0,932195
airoli,1316.53,2,4.0,26,39.0,10.1,0,0,16186433
belapur,881.69,3,2.0,32,25.0,2.6,0,1,11836611
kharghar,609.44,4,4.0,11,11.0,9.1,1,1,9350546
panvel,1233.97,1,4.0,23,13.0,14.4,0,1,12185741
belapur,856.6,3,4.0,31,26.0,23.8,0,1,9762427
cbd belapur,1433.12,3,2.5295887662988967,24,7.0,6.1,0,0,25426153
panvel,133.11,2,2.5295887662988967,2,37.0,17.7,0,1,2755057
ghansoli,1004.73,2,2.5295887662988967,29,36.0,0.9,0,1,13218227
vashi,1313.9,3,2.0,31,14.0,6.8,1,1,21595119
belapur,644.99,2,3.0,11,37.0,14.2,0,1,10283522
kharghar,769.92,2,1.0,4,15.0,8.4,0,0,15332614
belapur,1405.49,2.4597701149425286,3.0,26,8.0,20.6,0,1,21096934
nerul,697.66,2,1.0,26,15.0,6.2,0,0,7850089
belapur,1621.08,3,3.0,5,36.0,4.7,0,1,28547343
panvel,819.19,1,2.0,14,39.0,6.7,0,0,9437699
kharghar,1235.84,3,4.0,10,19.846280312371558,4.3,0,1,18150059
nerul,895.02,2,2.0,22,25.0,9.5,0,0,12218733
kharghar,1231.49,1,1.0,23,36.0,2.6,0,1,22772462
airoli,1193.65,4,2.5295887662988967,16.55400254129606,36.0,11.4,0,0,21286358
ghansoli,1732.87,2,2.5295887662988967,31,15.0,6.9,1,0,18110169
nerul,1218.81,2.4597701149425286,2.0,21,29.0,5.5,1,0,13073456
airoli,936.0,1,2.5295887662988967,18,19.0,3.1,0,0,15442355
nerul,799.8,2,3.0,16.55400254129606,6.0,4.1,1,1,14365399
kharghar,765.74,1,4.0,24,39.0,14.3,0,0,8703932
airoli,1167.21,4,3.0,28,12.0,6.6,1,0,14350286
kharghar,1738.35,2,2.5295887662988967,24,24.0,7.9,1,0,22008701
kharghar,1824.29,2,1.0,0,16.0,6.5,0,0,21500843
kharghar,1011.62,2.4597701149425286,2.5295887662988967,2,8.0,7.7,1,1,13380852
ghansoli,628.09,2,3.0,2,1.0,2.0,1,0,6095882
panvel,1789.89,2.4597701149425286,3.0,27,39.0,6.5,1,1,17638961
cbd belapur,269.93,2,2.0,25,39.0,3.3,0,0,4861380
panvel,1431.85,2,3.0,9,39.0,13.1,1,1,24472020
ghansoli,1124.62,2,3.0,6,27.0,13.4,1,0,17165804
panvel,238.51,2,4.0,29,19.0,17.0,0,0,3228617
cbd belapur,1012.85,4,2.0,1,19.0,9.1,0,1,17787075
panvel,478.99,3,4.0,10,11.0,9.4,0,0,9470667
nerul,545.16,2,3.0,27,1.0,1.9,0,1,8182487
ghansoli,1530.85,2,2.5295887662988967,15,27.0,8.1,0,0,16959365
nerul,711.02,2.4597701149425286,4.0,9,12.0,11.4,1,0,7038059
cbd belapur,1210.45,2,4.0,11,24.0,7.2,0,1,18157159
panvel,492.81,1,2.0,27,28.0,2.7,0,1,9380518
panvel,811.32,3,1.0,24,17.0,13.8,1,0,8657909
panvel,1300.7,3,2.0,19,1.0,11.3,0,0,23969023
nerul,739.75,1,4.0,1,33.0,8.2,0,0,11394870
cbd belapur,1123.97,2,4.0,15,21.0,3.5,0,1,11620991
kharghar,1295.83,3,3.0,12,18.0,15.7,1,0,15261303
ulwe,1034.73,3,4.0,12,2.0,3.1,0,1,15061959
ghansoli,681.47,3,2.5295887662988967,9,28.0,8.8,1,1,12937596
nerul,742.53,2,3.0,16,26.0,13.1,1,1,12200750
kharghar,999.37,2,1.0,16,10.0,0.7,0,0,14971631
cbd belapur,790.93,3,1.0,6,1.0,0.9,0,0,16146466
kharghar,438.03,1,2.5295887662988967,2,23.0,6.6,0,0,5480381
ulwe,70.48,3,3.0,23,33.0,10.6,0,0,984418
nerul,1228.43,1,2.5295887662988967,27,8.0,5.2,1,0,15280347
panvel,873.8,4,3.0,10,30.0,9.9,0,1,10283192
panvel,1102.62,2,3.0,22,18.0,11.8,0,0,10548042
airoli,1438.49,2.4597701149425286,4.0,24,9.0,5.1,0,0,17755000
kharghar,245.89,3,3.0,26,7.0,2.3,0,0,3375725
airoli,438.17,2,3.0,32,36.0,4.3,1,1,5072237
panvel,1569.46,1,1.0,32,14.0,9.9,0,1,22801419
nerul,1241.05,4,2.5295887662988967,7,23.0,8.3,1,0,13865237
airoli,798.36,4,2.5295887662988967,3,34.0,12.3,0,0,9727245
panvel,925.65,3,1.0,16.55400254129606,15.0,0.5,0,0,14452896
airoli,1080.22,1,1.0,13,2.0,21.5,0,0,17309419
ulwe,241.9,3,3.0,14,22.0,1.8,0,1,5016522
belapur,805.48,4,2.0,2,16.0,7.6,0,0,11671777
ghansoli,941.19,2,3.0,9,38.0,14.7,0,1,15599686
kharghar,3430.9657487994687,3,2.0,14,29.0,0.6,0,0,50507091.96410894
cbd belapur,705.35,2.4597701149425286,4.0,18,19.846280312371558,5.7,0,0,7117545
airoli,1234.78,3,4.0,25,30.0,2.2,1,0,23708314
panvel,923.54,2,2.5295887662988967,4,7.0,4.1,0,1,13391176
panvel,836.05,1,2.5295887662988967,31,36.0,6.5,0,0,15467881
ulwe,1255.38,3,2.5295887662988967,25,23.0,15.0,1,0,16797300
ghansoli,298.85,4,4.0,24,30.0,0.0,1,1,6993946
nerul,829.82,2,2.0,16.55400254129606,9.0,11.7,0,1,9486584
airoli,211.52,2,2.5295887662988967,17,18.0,2.4,1,1,2512477
kharghar,1449.39,3,2.5295887662988967,29,2.0,20.2,0,0,16983629
nerul,1376.48,4,2.5295887662988967,16.55400254129606,39.0,2.2,1,0,19921510
ghansoli,782.98,1,4.0,3,14.0,1.1,1,0,13588388
panvel,903.37,2,3.0,12,16.0,9.3,0,0,10283939
nerul,1221.49,2,2.5295887662988967,15,6.0,2.4,1,0,11710488
cbd belapur,291.25,2.4597701149425286,1.0,23,19.846280312371558,11.6,1,1,3407919
kharghar,631.15,3,1.0,0,16.0,8.2,1,0,8036089
belapur,1062.4,3,4.0,16.55400254129606,34.0,4.3,1,0,12221078
belapur,510.74,2,1.0,25,7.0,5.8,0,1,4574620
airoli,1306.0,1,2.0,16,33.0,17.5,1,1,14145458
nerul,848.02,4,1.0,22,29.0,9.5,0,0,18309998
ulwe,961.38,2,1.0,24,31.0,4.5,0,1,18118920
kharghar,3430.9657487994687,2,1.0,3,25.0,3.3,1,1,50507091.96410894
airoli,959.01,3,1.0,0,11.0,5.7,0,1,9826845
kharghar,1291.59,4,2.0,16.55400254129606,27.0,10.5,1,0,27584865
airoli,1657.65,2,1.0,28,20.0,5.8,1,0,29584317
vashi,1099.06,2.4597701149425286,3.0,9,29.0,9.0,0,1,15256295
nerul,100.87,2,1.0,25,29.0,15.2,0,0,750665
panvel,757.95,4,2.5295887662988967,2,5.0,8.8,0,0,15040622
vashi,639.76,2,1.0,13,28.0,3.2,1,0,9532946
ghansoli,1417.29,2.4597701149425286,2.5295887662988967,16,19.0,2.8,1,0,18141522
vashi,1226.1,3,1.0,9,15.0,7.0,0,1,19492742
cbd belapur,1413.73,2.4597701149425286,3.0,22,5.0,1.5,0,0,16761446
kharghar,643.0,3,1.0,26,17.0,12.6,0,1,9221620
ghansoli,917.83,2,4.0,34,22.0,5.2,0,1,17061797
ghansoli,1123.72,3,2.5295887662988967,32,5.0,3.9,1,0,18918166
ulwe,1224.74,3,1.0,20,22.0,4.4,0,1,17867921
airoli,689.67,2,1.0,26,24.0,8.0,0,0,6024012
ulwe,670.2,1,4.0,30,29.0,0.5,0,1,7954354
airoli,700.26,3,2.0,30,24.0,6.9,1,1,10807121
kharghar,558.69,2,1.0,0,22.0,5.0,0,0,7964451
nerul,739.57,2.4597701149425286,2.0,30,23.0,7.9,0,0,5861026
panvel,1072.58,2.4597701149425286,2.0,15,15.0,8.0,0,0,14144587
nerul,1077.35,3,1.0,5,24.0,9.7,0,1,12604074
vashi,1414.56,3,3.0,31,27.0,3.1,1,0,25942483
vashi,1042.21,1,3.0,22,13.0,9.6,0,0,9687622
kharghar,1052.0,3,2.5295887662988967,16.55400254129606,26.0,14.6,0,0,16488870
nerul,1406.93,1,1.0,13,11.0,1.3,1,1,19452607
ghansoli,1490.43,2.4597701149425286,4.0,3,37.0,13.3,0,0,27120156
airoli,1076.46,2.4597701149425286,3.0,17,24.0,10.8,1,0,9571962
cbd belapur,430.67,2,2.0,24,1.0,7.1,1,0,4414122
ulwe,588.94,2,4.0,5,30.0,24.2,1,1,6578835
belapur,1632.64,2.4597701149425286,2.5295887662988967,0,36.0,13.2,1,1,14162184
ulwe,700.86,2.4597701149425286,3.0,34,6.0,5.5,0,0,11583450
panvel,896.64,2,4.0,4,8.0,14.4,0,0,7815736
nerul,1253.57,3,2.0,24,9.0,9.7,0,1,16133517
kharghar,1056.14,2.4597701149425286,2.5295887662988967,6,39.0,4.5,1,1,14983547
belapur,1481.27,1,1.0,15,20.0,5.0,0,1,21749900
airoli,1798.4,4,2.5295887662988967,22,5.0,13.9,0,1,29012993
panvel,520.14,4,1.0,2,13.0,3.3,1,1,8744846
ghansoli,1538.56,3,1.0,11,30.0,5.8,0,1,16497191
panvel,1384.37,4,2.5295887662988967,14,38.0,14.3,0,0,16200360
nerul,1439.54,1,1.0,4,18.0,10.0,1,0,20113544
ulwe,888.88,1,1.0,11,21.0,17.0,0,0,10068604
panvel,1732.83,2,4.0,6,34.0,6.6,0,0,29166551
panvel,754.61,1,4.0,4,25.0,17.6,0,1,10601369
vashi,554.87,3,4.0,9,28.0,13.6,1,0,6359586
kharghar,571.4,2.4597701149425286,1.0,9,26.0,6.9,0,1,9954080
airoli,598.42,4,2.5295887662988967,10,2.0,9.8,1,0,10695800
panvel,1145.18,1,3.0,12,9.0,4.1,1,0,15829757
kharghar,465.94,2,3.0,13,31.0,17.5,1,1,6238149
kharghar,1372.42,2.4597701149425286,4.0,28,18.0,9.3,0,0,24465705
vashi,205.82,1,3.0,16.55400254129606,31.0,13.2,0,1,3031555
nerul,1332.89,2,2.5295887662988967,11,21.0,4.5,1,0,22398435
kharghar,1053.01,4,2.0,11,8.0,4.5,1,0,22531021
airoli,1836.22,3,4.0,8,31.0,11.3,0,0,29165711
cbd belapur,1186.0,4,3.0,24,11.0,23.2,1,1,20963866
nerul,904.47,2.4597701149425286,4.0,4,34.0,14.5,0,1,10511579
nerul,1861.3,2,3.0,3,26.0,3.8,0,0,19755089
cbd belapur,875.6,2.4597701149425286,2.0,13,13.0,11.5,0,1,13794402
belapur,1394.12,2,3.0,23,12.0,0.9,0,0,19530680
kharghar,1241.93,2,2.0,10,10.0,16.4,0,0,23921926
panvel,636.04,2,3.0,5,15.0,11.9,1,0,11604674
ghansoli,1224.68,2,2.5295887662988967,25,13.0,10.7,1,0,19207561
airoli,803.5,4,2.0,9,13.0,6.5,1,1,12903416
vashi,1407.5,2.4597701149425286,3.0,4,22.0,10.0,1,0,20314651
vashi,679.93,4,2.5295887662988967,18,35.0,7.1,0,0,9958093
ghansoli,768.92,4,1.0,34,13.0,1.0,0,1,8496089
airoli,1030.18,1,2.0,13,36.0,6.1,1,1,15157850
kharghar,726.39,4,3.0,12,8.0,0.6,0,1,10606944
kharghar,1532.88,2,3.0,26,37.0,18.1,0,0,14848881
kharghar,527.56,2,3.0,28,34.0,3.3,1,1,8880572
panvel,1325.17,2.4597701149425286,3.0,12,2.0,8.1,0,0,14188326
airoli,1278.06,2,2.0,25,2.0,7.6,0,0,12155944
nerul,1421.54,2.4597701149425286,2.0,15,9.0,6.1,0,0,15623134
cbd belapur,590.94,2,1.0,15,24.0,4.2,0,1,11306180
ulwe,527.96,1,2.5295887662988967,13,24.0,12.9,0,0,8383579
belapur,1157.74,2,1.0,10,5.0,13.0,0,0,18244919
nerul,887.83,3,1.0,1,15.0,1.1,0,1,17286419
belapur,1229.53,4,1.0,19,27.0,16.7,1,1,23531357
panvel,1197.64,1,2.5295887662988967,5,19.0,8.5,0,1,21649917
kharghar,1731.3,2.4597701149425286,2.5295887662988967,16,1.0,4.8,1,1,28349828
nerul,1131.3,2,2.0,1,28.0,3.4,0,1,16156568
panvel,1270.43,1,2.0,14,3.0,1.3,0,0,13248318
panvel,973.15,4,2.0,21,25.0,6.4,0,0,13210398
cbd belapur,760.54,1,1.0,1,33.0,24.3409720571534,0,0,11418382
vashi,973.28,1,4.0,14,12.0,1.1,0,0,17703417
kharghar,672.68,4,2.5295887662988967,25,35.0,9.5,1,1,13739940
kharghar,711.96,3,2.5295887662988967,34,10.0,6.3,0,0,7771389
kharghar,955.45,1,1.0,16.55400254129606,9.0,9.0,1,1,13174422
airoli,421.02,4,1.0,16.55400254129606,16.0,10.9,0,1,6220156
kharghar,1283.57,2.4597701149425286,2.5295887662988967,24,10.0,10.8,0,1,13673039
ulwe,830.47,2,2.5295887662988967,12,28.0,5.9,1,0,7150110
airoli,841.94,1,4.0,30,30.0,11.6,1,0,13042282
cbd belapur,630.68,2,2.5295887662988967,31,6.0,0.3,0,0,10395127
ulwe,1081.64,2,1.0,23,9.0,15.5,0,1,14138286
vashi,1301.66,1,1.0,16,35.0,7.7,1,0,16603157
ghansoli,835.6,2,3.0,28,9.0,14.6,0,0,13406789
nerul,891.86,2.4597701149425286,2.5295887662988967,17,21.0,10.1,0,1,11203950
kharghar,1307.18,4,4.0,5,33.0,19.0,0,0,26204667
nerul,1236.26,1,2.0,10,32.0,10.5,1,0,20368853
cbd belapur,968.77,3,2.0,2,39.0,19.4,1,1,17024991
ulwe,674.36,1,2.0,18,12.0,10.8,0,0,12336359
ghansoli,1414.75,2.4597701149425286,1.0,33,17.0,2.4,0,0,14047009
ghansoli,737.42,2.4597701149425286,3.0,27,11.0,1.4,0,1,9690467
panvel,896.28,2,3.0,9,7.0,12.9,1,1,9720795
nerul,1648.95,1,3.0,7,26.0,13.6,1,0,29419393
kharghar,1102.38,2.4597701149425286,2.5295887662988967,6,30.0,5.3,1,1,16689881
vashi,2025.91,2,3.0,25,30.0,10.3,0,0,30209785
nerul,1000.23,1,4.0,32,18.0,7.0,1,0,12528012
nerul,743.26,4,2.0,9,8.0,11.7,1,1,11968200
panvel,1445.83,1,3.0,27,31.0,5.6,1,0,14520988
panvel,969.13,2.4597701149425286,2.0,23,37.0,4.6,0,1,12064197
kharghar,794.59,4,4.0,31,38.0,10.0,0,0,8861857
ghansoli,952.15,3,4.0,30,10.0,9.9,0,0,14259865
airoli,1925.9,4,2.0,30,5.0,12.1,0,0,36024231
panvel,689.39,1,3.0,19,6.0,8.4,0,1,9460113
panvel,3430.9657487994687,2,3.0,32,3.0,9.9,0,0,50507091.96410894
panvel,277.37,4,3.0,3,18.0,8.7,1,0,5327003
airoli,1075.15,3,1.0,22,2.0,8.4,0,0,19155035
airoli,1257.33,2,2.0,18,34.0,4.3,0,0,22628336
airoli,985.44,2,2.0,12,9.0,5.0,0,0,12205140
vashi,889.16,4,2.5295887662988967,12,17.0,17.3,0,0,16013631
belapur,761.16,2.4597701149425286,1.0,13,11.0,3.9,0,1,11200907
airoli,647.68,1,2.0,27,27.0,14.3,1,1,7946088
kharghar,1195.27,2,4.0,22,22.0,10.3,1,1,14458629
panvel,1093.34,2,4.0,19,14.0,0.8,0,1,14605471
airoli,1579.66,1,2.5295887662988967,26,37.0,5.9,1,0,26383093
belapur,1461.17,2.4597701149425286,2.0,31,21.0,6.4,0,1,17364266
nerul,875.21,4,2.5295887662988967,19,12.0,8.3,0,1,18846356
nerul,1251.98,2,2.5295887662988967,7,6.0,3.7,1,0,24461920
airoli,934.67,1,2.0,9,33.0,12.9,0,0,14117358
cbd belapur,670.95,2,2.5295887662988967,21,30.0,2.3,0,0,8167802
ulwe,1143.55,2.4597701149425286,2.0,17,10.0,1.4,1,0,12878418
panvel,2007.74,2,2.5295887662988967,29,37.0,1.0,0,0,22317934
airoli,581.42,1,2.5295887662988967,19,22.0,4.6,0,1,5521254
nerul,1459.2,1,2.0,14,34.0,14.1,0,1,22172149
panvel,122.82,4,1.0,33,7.0,1.2,0,1,824504
ghansoli,1294.47,2.4597701149425286,4.0,12,34.0,1.5,1,1,12020362
panvel,1305.66,3,3.0,33,31.0,1.3,1,1,26738352
belapur,918.89,2.4597701149425286,1.0,8,34.0,5.3,0,0,15067913
